Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112058168,anther-specific proline-rich protein APG,LOC112058168,4217.872836,-8.382914208,4.09E-268,8.382914208
LOC112054554,glycine-rich cell wall structural protein-like,TwdlT,20344.83845,-13.60382865,5.07E-267,13.60382865
LOC112056086,CD151 antigen-like,LOC112056086,3695.241306,-6.772908196,1.68E-266,6.772908196
LOC112054280,skin secretory protein xP2-like,Cpr97Ea,1791.418282,-8.947906893,4.72E-266,8.947906893
LOC112054633,protein scarlet,st,5390.412155,-6.088256105,1.94E-265,6.088256105
LOC112045305,microtubule-actin cross-linking factor 1 isoform X2,shot,53955.42272,-2.985017618,2.41E-262,2.985017618
LOC112047559,uncharacterized protein LOC112047559,CG13024,2741.126325,-8.623996782,1.40E-260,8.623996782
LOC112057719,larval cuticle protein 1-like,Cpr47Ea,20173.74303,-12.15737057,1.11E-257,12.15737057
LOC112054167,alpha-tocopherol transfer protein-like,CG3823,3512.290947,-5.251415783,2.53E-250,5.251415783
LOC112050352,uncharacterized protein LOC112050352,LOC112050352,3148.131305,-5.501846275,1.29E-249,5.501846275
LOC112047998,uncharacterized protein LOC112047998,CG17786,9816.418196,-4.966993375,3.61E-249,4.966993375
LOC112045972,cuticle protein 1-like,LOC112045972,30569.6573,-11.97494264,5.12E-248,11.97494264
LOC112045155,titin isoform X1,LOC112045155,123155.7315,-2.439550485,4.52E-247,2.439550485
LOC112051071,uncharacterized LOC106124846 precursor,dyl,1549.592569,-8.36274066,9.71E-240,8.36274066
LOC112051806,glutamine synthetase 2 cytoplasmic,Gs2,8117.706209,-5.511437929,1.48E-237,5.511437929
LOC112053988,uncharacterized protein LOC112053988,RhoGEF64C,7262.763288,-3.521706409,1.56E-234,3.521706409
LOC112047536,urbain precursor,LOC112047536,69481.57399,6.29439421,6.95E-234,-6.29439421
LOC112045404,osiris 19 isoform X1,Osi19,6788.440737,-8.504520482,5.76E-233,8.504520482
LOC112055381,teneurin-m isoform X4,Ten-m,13333.77279,-2.214051102,1.18E-231,2.214051102
LOC112045232,estradiol 17-beta-dehydrogenase 11-like,CG9265,9166.122686,-5.391237941,2.81E-231,5.391237941
LOC112058375,transcription factor kayak isoform X1,kay,2414.741272,-2.512255388,1.98E-228,2.512255388
LOC112051506,OWR48679.1 Secreted protein member of chemokine factor super family,CG15449,6113.147484,-2.039245787,8.58E-226,2.039245787
LOC112044902,chitin synthase A,kkv,15291.87534,-2.851624867,3.57E-223,2.851624867
LOC112048341,esterase FE4-like,CG10175,701.781983,-7.20661185,8.94E-221,7.20661185
LOC112044206,uncharacterized protein LOC112044206 isoform X2,exp,5855.89495,-5.735555158,1.18E-220,5.735555158
LOC112050584,NA,NA,2352.390132,-2.990566152,1.97E-219,2.990566152
LOC112047614,fatty acyl-CoA reductase wat-like,wat,2046.215771,-9.451603097,2.54E-218,9.451603097
LOC112053106,protein claret segregational,kinesin-14,1056.282956,5.189130144,8.28E-217,-5.189130144
LOC112053312,scavenger receptor class B member 1-like,SCRB6,4272.145859,-5.591222356,4.98E-216,5.591222356
LOC112047975,OWR53088.1 putative cuticle protein,CG12540,3654.954928,6.778811171,9.44E-216,-6.778811171
LOC112047582,uncharacterized protein LOC112047582,CG14636,4348.214048,-9.682009693,1.06E-214,9.682009693
LOC112049764,probable phosphoserine aminotransferase,CG11899,4874.018351,2.464870083,1.56E-213,-2.464870083
LOC112047206,transforming acidic coiled-coil-containing protein 3-like,LOC112047206,905.2176588,3.983885945,2.57E-213,-3.983885945
LOC112053778,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Hmgcr,6451.22619,-4.369453654,1.15E-212,4.369453654
LOC112046971,cadherin-89D isoform X2,Cad89D,4625.328384,-5.500808222,5.36E-210,5.500808222
LOC112048398,myosin regulatory light chain sqh,sqh,19817.22059,-2.232953427,9.53E-210,2.232953427
LOC112042790,putative fatty acyl-CoA reductase CG5065,CG12268,9046.219545,-12.40901707,4.23E-208,12.40901707
LOC112053961,tubulin beta-1 chain,betaTub56D,215342.9287,-2.797791242,1.24E-207,2.797791242
LOC112048093,mucin-5AC isoform X1,Spn27A,8645.276701,5.874722122,6.74E-207,-5.874722122
LOC112052549,histidine-rich glycoprotein-like,LOC112052549,3910.257546,-10.27005562,2.68E-204,10.27005562
LOC112051076,KPJ09368.1 putative phosphoenolpyruvate synthase,LOC112051076,1077.853302,-6.853039258,8.00E-204,6.853039258
LOC112048934,Protein FAM43A,CG8312,2569.293687,-2.109668623,5.18E-203,2.109668623
LOC112048791,BAM18502.1  CG6688,CG6688,1317.370144,-8.056055342,1.48E-202,8.056055342
LOC112050060,fez family zinc finger protein erm-like,sens,640.4804821,-5.854920501,1.15E-201,5.854920501
LOC112048035,WD repeat-containing protein 47 isoform X3,CG2812,3748.734425,-2.46215049,4.99E-199,2.46215049
LOC112054528,class A basic helix-loop-helix protein 15-like,dimm,1185.96792,-5.053422645,7.62E-199,5.053422645
LOC112057228,tubulin beta-1 chain-like,betaTub56D,93707.54151,-3.717845017,1.16E-196,3.717845017
LOC112058374,BTB/POZ domain-containing protein 6 isoform X1,lute,2921.873761,-2.505532794,7.15E-196,2.505532794
LOC112049794,dual specificity protein kinase lkh1 isoform X1,Doa,6187.809829,-1.833534118,1.25E-195,1.833534118
LOC112050700,uncharacterized protein LOC112050700,LOC112050700,2865.574709,-1.886682514,1.17E-194,1.886682514
LOC112045745,elongation of very long chain fatty acids protein AAEL008004-like isoform X1,CG5326,12194.66771,-9.740561174,1.08E-193,9.740561174
LOC112043738,patched domain-containing protein 3,Ptr,1672.294987,-7.440568479,1.46E-192,7.440568479
LOC112049651,multidrug resistance protein homolog 49-like,Mdr49,1514.302453,4.577943403,4.52E-191,-4.577943403
LOC112045218,proliferating cell nuclear antigen,mus209,2648.421074,3.595924284,1.23E-189,-3.595924284
LOC112052551,pollen-specific leucine-rich repeat extensin-like protein 1,TwdlE,1743.623544,-6.772817967,1.89E-189,6.772817967
LOC112050337,glucose transporter type 1-like isoform X2,Glut1-,1835.846588,-3.827235276,4.79E-189,3.827235276
LOC112057832,UDP-glucuronosyltransferase 2C1,Ugt50B3,3382.150605,-7.626215649,5.57E-189,7.626215649
LOC112055826,uncharacterized protein LOC112055826 isoform X3,nw,11624.17386,8.155954071,9.59E-187,-8.155954071
LOC112058437,C-type lectin,CG4115,3860.448729,-5.63764047,1.45E-185,5.63764047
LOC112047628,proton-coupled amino acid transporter-like protein pathetic,CG8785,4979.100674,-11.20258418,3.13E-185,11.20258418
