Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC,eyespot
LOC112047434,ATP-dependent RNA helicase p62,Rm62,32284.67307,0.998861939,1.11E-17,-0.998861939,NA
LOC112045044,rac GTPase-activating protein 1-like,tum,576.672605,-1.038336386,1.13E-17,1.038336386,NA
LOC112053842,heat shock protein 68-like,Hsp68,168.157903,2.400701189,1.18E-17,-2.400701189,NA
LOC112045218,proliferating cell nuclear antigen,mus209,4534.410439,-1.233904151,1.41E-17,1.233904151,NA
LOC112050392,protein lethal(2)essential for life-like,l(2)efl,2135.147726,1.683194004,2.77E-17,-1.683194004,NA
LOC112055795,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1",LOC112055795,345.3680375,1.042619848,2.87E-17,-1.042619848,NA
LOC112047206,transforming acidic coiled-coil-containing protein 3-like,LOC112047206,1663.093439,-1.043039179,8.24E-17,1.043039179,NA
LOC112044391,structural maintenance of chromosomes protein 4,glu,2636.500296,-0.825946781,9.36E-17,0.825946781,NA
LOC112044079,probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 isoform X1,Mtpalpha,2961.672357,0.956120537,1.11E-16,-0.956120537,NA
LOC112055064,condensin complex subunit 2,barr,447.374452,-1.463827158,3.22E-16,1.463827158,NA
LOC112051090,cyclin-dependent kinase inhibitor 1-like,LOC112051090,2707.435968,0.480281803,3.54E-16,-0.480281803,NA
LOC112056791,protein muscleblind isoform X2,mbl,9521.472683,-0.49101036,3.58E-16,0.49101036,NA
LOC112052647,UPF0505 protein C16orf62 isoform X1,CG8202,1524.2229,0.456712725,3.70E-16,-0.456712725,NA
LOC112046025,protein nessun dorma,nesd,873.7158471,-1.202458313,4.51E-16,1.202458313,NA
LOC112049328,inner centromere protein isoform X2,stai,15772.3567,-0.737627894,5.45E-16,0.737627894,eyespot_up
LOC112054416,protein PF14_0175-like,tacc,1231.541872,-0.944650084,5.59E-16,0.944650084,NA
LOC112055759,flap endonuclease 1,Fen1,1489.099831,-1.115429705,6.78E-16,1.115429705,NA
LOC112050391,protein lethal(2)essential for life-like,l(2)efl,398.9126198,2.181575577,8.34E-16,-2.181575577,NA
LOC112055538,innexin inx1,ogre,7251.739985,0.80730462,8.68E-16,-0.80730462,NA
LOC112044019,formin-like protein 20,Hers,2620.669756,0.387522424,8.81E-16,-0.387522424,NA
LOC112046429,26S proteasome regulatory subunit 4,Rpt2,7866.021102,-0.4824778,9.14E-16,0.4824778,NA
LOC112055007,helix-loop-helix protein delilah-like,tx,3519.646458,1.00484786,1.49E-15,-1.00484786,NA
LOC112052722,uncharacterized protein LOC112052722,sprt,656.0200065,-1.000049032,1.63E-15,1.000049032,NA
LOC112043408,fatty acid synthase,FASN1,4571.351954,-1.235667023,1.74E-15,1.235667023,NA
LOC112046533,protein MIS12 homolog,LOC112046533,522.5891476,-0.909524079,2.06E-15,0.909524079,NA
LOC112050446,L-lactate dehydrogenase isoform X1,Ldh,2297.616976,1.01127458,2.06E-15,-1.01127458,NA
LOC112044645,"translation initiation factor IF-2, mitochondrial",mIF2,733.3060462,-0.566799377,2.20E-15,0.566799377,NA
LOC112045188,"pentatricopeptide repeat-containing protein 2, mitochondrial-like",LOC112045188,1051.190092,-0.666982397,2.72E-15,0.666982397,NA
LOC112054589,dual specificity protein kinase TTK,ald,412.5006387,-0.93615049,3.05E-15,0.93615049,NA
LOC112044004,26S proteasome regulatory subunit 10B,Rpt4,4957.988163,-0.463374341,3.76E-15,0.463374341,eyespot_down
LOC112046749,alpha-N-acetylgalactosaminidase isoform X1,CG7997,398.551889,-1.774275415,3.76E-15,1.774275415,NA
LOC112047544,"probable arginine--tRNA ligase, mitochondrial",ArgRS-m,888.5097404,0.970005702,4.46E-15,-0.970005702,eyespot_up
LOC112043411,ras-related protein Rab-10,Rab10,4676.23348,-0.504734428,5.73E-15,0.504734428,NA
LOC112045504,hepatic leukemia factor isoform X3,Pdp1,686.4623916,0.88950604,5.97E-15,-0.88950604,NA
LOC112045618,regulation of nuclear pre-mRNA domain-containing protein 2 isoform X3,CG15160,1363.935836,-0.60177072,6.12E-15,0.60177072,NA
LOC112057966,peroxisomal multifunctional enzyme type 2,Mfe2,7036.906526,0.493395801,7.07E-15,-0.493395801,NA
LOC112057975,angiogenic factor with G patch and FHA domains 1 isoform X1,CG8079,676.288418,-0.80291372,7.07E-15,0.80291372,NA
LOC112047767,U1 small nuclear ribonucleoprotein 70 kDa,snRNP70K,2746.887207,-0.472253107,7.53E-15,0.472253107,NA
LOC112051144,importin subunit alpha-1-like,alphaKap2,1043.450712,-1.799492236,7.84E-15,1.799492236,NA
LOC112045492,larval/pupal rigid cuticle protein 66-like,CPR59,69.52337598,2.551515209,1.00E-14,-2.551515209,eyespot_down
LOC112054138,proton channel OtopLc isoform X1,OtopLa,2516.771751,-0.874804469,1.53E-14,0.874804469,NA
LOC112056190,26S proteasome non-ATPase regulatory subunit 14,Rpn11,5841.765936,-0.456088185,1.58E-14,0.456088185,NA
LOC112054182,probable ATP-dependent RNA helicase Dbp73D,Dbp73D,1970.947744,-0.498144731,1.65E-14,0.498144731,NA
LOC112050025,serine proteinase stubble,CLIPD7,1306.66925,0.96957282,1.68E-14,-0.96957282,NA
LOC112045885,leucine-rich repeat-containing protein 47-like,LOC112045885,4125.376075,-0.586794129,2.24E-14,0.586794129,NA
