Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC,eyespot
LOC112044083,nucleolar pre-ribosomal-associated protein 1,CG12499,2436.494575,-0.311517126,2.04E-07,0.311517126,NA
LOC112050024,nascent polypeptide-associated complex subunit alpha,Nacalpha,17465.0849,-0.517617989,2.10E-07,0.517617989,NA
LOC112046194,uncharacterized protein LOC112046194 isoform X1,LOC112046194,5321.219738,0.406784411,2.10E-07,-0.406784411,NA
LOC112044000,zinc finger protein on ecdysone puffs isoform X1,LOC112044000,4166.239301,-0.282345126,2.11E-07,0.282345126,NA
LOC112057917,probable ATP-dependent RNA helicase DDX47,CG9253,3428.383553,-0.303358367,2.14E-07,0.303358367,NA
LOC112048164,uncharacterized protein LOC112048164 isoform X2,CG42240,699.0951038,1.605937128,2.17E-07,-1.605937128,NA
LOC112050264,putative vitellogenin receptor,yl,1354.090603,0.430883972,2.33E-07,-0.430883972,NA
LOC112043327,integrator complex subunit 8,IntS8,2208.508448,-0.282334746,2.35E-07,0.282334746,NA
LOC112051375,neurochondrin homolog,Neurochondrin,1577.15299,-0.538756494,2.39E-07,0.538756494,NA
LOC112044045,hybrid signal transduction histidine kinase L-like,CNOT4,3407.061665,0.300079113,2.45E-07,-0.300079113,NA
LOC112046382,centrosome-associated zinc finger protein CP190,Cp190,4653.337671,0.32024608,2.45E-07,-0.32024608,NA
LOC112053734,uncharacterized LOC106124388 precursor,LOC112053734,16282.91454,0.434696253,2.45E-07,-0.434696253,NA
LOC112048091,paternally-expressed gene 3 protein-like,LOC112048091,48236.69406,-0.476751166,2.52E-07,0.476751166,eyespot_up
LOC112049730,uncharacterized protein LOC112049730,LOC112049730,1139.551959,-0.565836406,2.62E-07,0.565836406,NA
LOC112055101,uncharacterized protein LOC112055101,CG13272,7326.105636,1.150191185,2.62E-07,-1.150191185,NA
LOC112047096,protein TEX261,CG3500,271.1638079,0.676190861,2.76E-07,-0.676190861,NA
LOC112053449,methyl-CpG-binding domain protein 4-like,LOC112053449,59.20870746,1.357704393,2.87E-07,-1.357704393,NA
LOC112047415,venom dipeptidyl peptidase 4-like,CG11034,5657.43055,1.584287987,3.06E-07,-1.584287987,NA
LOC112046898,homeotic protein female sterile-like,LOC112046898,7979.35991,0.605547618,3.11E-07,-0.605547618,NA
LOC112057740,cyclin-H,CycH,1359.262936,-0.531210501,3.11E-07,0.531210501,NA
LOC112045108,kinesin-like protein KIF23,pav,432.5357236,-1.185918701,3.15E-07,1.185918701,NA
LOC112048788,protein toll,Tl,1072.833249,0.334291481,3.18E-07,-0.334291481,NA
LOC112047509,proteasome subunit alpha type-7-1,Prosalpha4,5350.677575,-0.442897133,3.30E-07,0.442897133,eyespot_down
LOC112057692,uncharacterized protein LOC112057692,LOC112057692,1363.817321,-0.76817912,3.47E-07,0.76817912,NA
LOC112048632,uncharacterized protein LOC112048632 isoform X1,LOC112048632,107.5577818,-2.594389078,3.51E-07,2.594389078,NA
LOC112058497,protein dachsous,ds,4319.768176,-0.297273861,3.51E-07,0.297273861,NA
LOC112054202,diphthine--ammonia ligase,CG1578,1573.746073,-0.70921704,3.57E-07,0.70921704,NA
LOC112043098,organic cation transporter protein isoform X2,CG6126,1185.065456,-0.733228897,3.58E-07,0.733228897,NA
LOC112042926,glutamine synthetase 2 cytoplasmic-like,Gs2,232.4637638,1.075250945,3.72E-07,-1.075250945,NA
LOC112045305,microtubule-actin cross-linking factor 1 isoform X2,shot,18865.30169,0.549851354,3.79E-07,-0.549851354,eyespot_up
LOC112046086,protein enabled,ena,274.8632967,0.871207886,3.81E-07,-0.871207886,NA
LOC112047750,structural maintenance of chromosomes protein 2,SMC2,1619.034251,-0.863914571,3.81E-07,0.863914571,NA
LOC112052763,"RNA-binding motif protein, X-linked 2",CG10466,392.2196845,-0.542605339,3.81E-07,0.542605339,NA
LOC112044522,cyclin-K,CycK,1931.929267,-0.390100195,4.15E-07,0.390100195,NA
LOC112052913,locomotion-related protein Hikaru genki,hig,217.0756309,0.74483601,4.15E-07,-0.74483601,NA
LOC112056012,NA,NA,313.7310168,-0.77305959,4.18E-07,0.77305959,NA
LOC112055096,ATP-dependent DNA helicase Q5-like,RecQ5,1186.799563,0.427155013,4.19E-07,-0.427155013,NA
LOC112049144,DNA-directed RNA polymerase III subunit RPC3,CG12267,593.7749267,-0.469822663,4.22E-07,0.469822663,NA
LOC112045949,dymeclin,CG8230,1719.718399,0.332068875,4.26E-07,-0.332068875,NA
LOC112051163,deoxyuridine 5'-triphosphate nucleotidohydrolase,dUTPase,2418.11361,-0.741508327,4.26E-07,0.741508327,NA
LOC112050720,"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",gny,733.9945954,0.60088429,4.31E-07,-0.60088429,NA
LOC112046300,nuclear pore complex protein Nup153 isoform X1,Nup153,2721.857393,-0.275607587,4.35E-07,0.275607587,NA
LOC112051476,TIP41-like protein,CG9578,630.6762733,-0.645364375,4.40E-07,0.645364375,NA
LOC112051388,heat shock protein 90,Hsp83,63197.27493,-0.297944644,4.80E-07,0.297944644,NA
LOC112046267,leukocyte receptor cluster member 8 homolog,CG6700,6812.759439,0.344175378,4.86E-07,-0.344175378,NA
LOC112048515,patched domain-containing protein 3-like,PTCHD3,268.0407819,1.307913846,4.92E-07,-1.307913846,NA
LOC112046280,protein ABHD16A,CG1309,1121.706389,0.477624959,5.03E-07,-0.477624959,NA
LOC112054594,"folylpolyglutamate synthase, mitochondrial-like",Fpgs,287.4287537,-0.835506935,5.28E-07,0.835506935,NA
LOC112049403,kinesin-like protein KIF20B,kinesin-A,1451.629254,-1.090246819,5.63E-07,1.090246819,NA
LOC112043045,transcriptional coactivator YAP1 isoform X2,yki,2347.09846,-0.390345042,5.96E-07,0.390345042,NA
LOC112051607,ornithine decarboxylase antizyme,Oda,7630.467575,-0.414273525,5.98E-07,0.414273525,eyespot_up
LOC112042867,mitotic checkpoint serine/threonine-protein kinase BUB1 beta-like,Bub1,2691.4724,-0.358966097,6.16E-07,0.358966097,NA
LOC112051357,cleavage and polyadenylation specificity factor subunit CG7185 isoform X2,Cpsf6,6763.89715,-0.30014166,6.33E-07,0.30014166,NA
LOC112055213,pupal cuticle protein-like,LOC112055213,136.9945267,3.788322007,6.56E-07,-3.788322007,eyespot_down
LOC112048494,interleukin-1 receptor-associated kinase 4-like,TUBE,875.7316806,0.461085183,6.81E-07,-0.461085183,NA
LOC112043529,vicilin-like seed storage protein At2g18540,CG18266,23.97458486,-3.352093207,6.99E-07,3.352093207,NA
LOC112045672,chitobiosyldiphosphodolichol beta-mannosyltransferase,Alg1,642.2375486,-0.696195566,7.00E-07,0.696195566,NA
LOC112047070,translation elongation factor 2,eEF2,153972.8574,0.395290735,7.38E-07,-0.395290735,NA
LOC112048611,serine/arginine-rich splicing factor 1B,SF2,19153.81671,-0.27879929,7.42E-07,0.27879929,eyespot_up
LOC112051106,protein catecholamines up,Catsup,3416.199118,-0.312816708,7.42E-07,0.312816708,eyespot_down
LOC112050645,uncharacterized protein LOC112050645,CG13868,616.143045,0.830820002,7.43E-07,-0.830820002,eyespot_up
LOC112051509,major facilitator superfamily domain-containing protein 10 isoform X1,rtet,484.639525,-0.480853553,7.69E-07,0.480853553,NA
LOC112055214,"glucose dehydrogenase [FAD, quinone]-like",Gld,212.5255882,1.806858557,7.94E-07,-1.806858557,NA
LOC112053746,phytanoyl-CoA dioxygenase domain-containing protein 1,CG14688,1106.185814,-1.406621056,7.98E-07,1.406621056,NA
LOC112056083,63 kDa sperm flagellar membrane protein,pwn,1642.573356,1.216539815,8.49E-07,-1.216539815,NA
LOC112055624,bromodomain-containing protein DDB_G0270170-like,dikar,1986.510784,-0.294386613,8.54E-07,0.294386613,NA
LOC112044606,26S proteasome regulatory subunit 7,Rpt1,6033.141987,-0.351076228,8.74E-07,0.351076228,NA
LOC112047560,uncharacterized protein LOC112047560,LOC112047560,49.94467964,2.117042522,9.22E-07,-2.117042522,NA
LOC112043624,RUN and FYVE domain-containing protein 2 isoform X2,CG31064,1104.957359,0.494620024,9.27E-07,-0.494620024,NA
LOC112046071,DNA polymerase epsilon subunit 3,Chrac-14,545.5401146,-0.9944141,9.27E-07,0.9944141,NA
LOC112056544,estradiol 17-beta-dehydrogenase 2,CG13377,762.6414579,-0.598560035,9.73E-07,0.598560035,NA
LOC112047046,GTP-binding nuclear protein ran,ran,21743.5462,-0.369226088,9.93E-07,0.369226088,NA
LOC112044999,protein spaetzle 3,spz3,669.5240367,1.627874272,1.00E-06,-1.627874272,NA
LOC112046575,BAM20005.1  CG7713,pasi1,2071.21841,-0.436379663,1.03E-06,0.436379663,NA
LOC112051211,UPF0488 protein CG14286,CG14286,1433.961148,-0.566999758,1.04E-06,0.566999758,NA
LOC112049911,uncharacterized protein LOC112049911,LOC112049911,24.54526265,2.215878886,1.05E-06,-2.215878886,NA
LOC112043281,UDP-glucose:glycoprotein glucosyltransferase,Ugt,6754.541825,-0.265873165,1.10E-06,0.265873165,NA
LOC112045571,"superoxide dismutase [Mn], mitochondrial",Sod2,3811.954475,-0.363543021,1.11E-06,0.363543021,NA
LOC112043039,adenylyl cyclase-associated protein 1 isoform X1,capt,3466.677644,0.379986219,1.12E-06,-0.379986219,NA
LOC112052072,26S proteasome non-ATPase regulatory subunit 10-like,LOC112052072,641.5223737,-0.43362316,1.12E-06,0.43362316,NA
LOC112055146,protein translation factor SUI1 homolog,eIF1,12275.59089,0.419893927,1.16E-06,-0.419893927,NA
LOC112058367,hemicentin-2-like isoform X1,side-III,1375.493794,0.648817934,1.17E-06,-0.648817934,NA
LOC112049682,uncharacterized protein LOC112049682,Amun,2958.411235,0.297435269,1.20E-06,-0.297435269,NA
LOC112053779,chaoptin,conv,861.9538642,0.641615392,1.22E-06,-0.641615392,NA
LOC112047328,inner centromere protein A,Incenp,2046.127535,-0.501386377,1.23E-06,0.501386377,NA
LOC112049826,COP9 signalosome complex subunit 7b,CSN7,1233.297753,-0.337021762,1.24E-06,0.337021762,NA
LOC112052460,LIM domain only protein 3-like,Bx,1044.050793,-0.607746411,1.26E-06,0.607746411,eyespot_up
LOC112049919,eukaryotic translation initiation factor 4H isoform X1,eIF4H1,2980.944807,-0.377342053,1.39E-06,0.377342053,NA
LOC112046470,ubiquitin-like modifier-activating enzyme 1,Uba1,17262.38966,-0.205400719,1.41E-06,0.205400719,NA
LOC112047991,transmembrane protein 135-like,LOC112047991,261.294198,0.658760182,1.43E-06,-0.658760182,NA
LOC112050817,pseudouridylate synthase 7 homolog,Pus7,3142.74469,-0.288559565,1.43E-06,0.288559565,NA
LOC112046723,nuclear pore complex protein Nup205,Nup205,4752.624575,-0.55025471,1.44E-06,0.55025471,NA
LOC112047022,facilitated trehalose transporter Tret1-like,CG6484,214.4628823,2.494249341,1.47E-06,-2.494249341,eyespot_down
LOC112045352,trichohyalin-like isoform X1,LOC112045352,122.5171134,-1.221968971,1.53E-06,1.221968971,NA
LOC112057832,UDP-glucuronosyltransferase 2C1,Ugt50B3,116.6173101,2.074864872,1.56E-06,-2.074864872,NA
LOC112047492,claspin-like,CG12173,3729.118857,0.2544949,1.61E-06,-0.2544949,NA
LOC112043855,polypeptide N-acetylgalactosaminyltransferase 1-like isoform X5,LOC112043855,859.5917024,-0.467010431,1.63E-06,0.467010431,NA
LOC112055319,hormone receptor 4 isoform X2,Hr4,1161.617168,0.499684558,1.64E-06,-0.499684558,NA
LOC112054800,anaphase-promoting complex subunit 15B-like,LOC112054800,1106.069394,0.61021461,1.65E-06,-0.61021461,NA
LOC112049668,"UPF0160 protein MYG1, mitochondrial isoform X2",CG11980,2003.215519,-0.460078612,1.66E-06,0.460078612,NA
LOC112050718,protein FAM57A,CG17841,747.0565749,-0.426916795,1.68E-06,0.426916795,NA
LOC112058251,uncharacterized protein LOC112058251,LOC112058251,194.122679,2.642416753,1.68E-06,-2.642416753,NA
LOC112049100,protein MLP1-like isoform X1,LOC112049100,310.4174739,-1.27612375,1.69E-06,1.27612375,NA
LOC112054534,L-xylulose reductase-like,CG7322,792.6983834,-0.542885018,1.73E-06,0.542885018,NA
LOC112054582,"succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",SdhD,1610.593411,0.448930214,1.76E-06,-0.448930214,NA
LOC112044451,replication protein A 32 kDa subunit,RPA2,1077.2262,-0.738076994,1.80E-06,0.738076994,NA
LOC112048134,eukaryotic peptide chain release factor GTP-binding subunit ERF3A isoform X1,Elf,12196.52645,0.221088992,1.83E-06,-0.221088992,NA
LOC112048265,heterogeneous nuclear ribonucleoprotein L isoform X1,sm,3697.627848,0.384818439,1.87E-06,-0.384818439,NA
LOC112043299,decapping and exoribonuclease protein-like,LOC112043299,301.0971024,-0.698403283,1.89E-06,0.698403283,NA
LOC112053508,general transcriptional corepressor trfA-like,LOC112053508,1476.524007,-0.651556714,1.92E-06,0.651556714,NA
LOC112053557,93 kDa serpin,SRPN3,3632.803692,0.337887484,1.94E-06,-0.337887484,NA
LOC112051716,"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",CG3902,2594.335511,0.316986818,1.94E-06,-0.316986818,NA
LOC112049665,tRNA pseudouridine synthase A isoform X1,Pus1,2074.43572,-0.429398979,1.96E-06,0.429398979,NA
LOC112051724,protein TANC2 isoform X1,rols,1651.448003,-0.382347682,1.97E-06,0.382347682,NA
LOC112044871,protein decapentaplegic,dpp,2199.712221,-0.301957107,1.98E-06,0.301957107,NA
LOC112048165,proteasome subunit alpha type-3,Prosalpha7,5203.205047,-0.435469276,1.99E-06,0.435469276,eyespot_down
LOC112055296,unconventional myosin-XV,Myo10A,1477.002175,0.349852928,1.99E-06,-0.349852928,NA
LOC112046158,U6 snRNA-associated Sm-like protein LSm4,CG17768,890.1426256,-0.512020792,2.10E-06,0.512020792,NA
LOC112046015,thymidylate synthase,Ts,799.6190037,-0.741389052,2.11E-06,0.741389052,NA
LOC112047795,ATP-dependent RNA helicase DDX54,CG32344,2503.742393,-0.318570477,2.11E-06,0.318570477,NA
LOC112048387,PR domain zinc finger protein 1 isoform X1,Blimp-1,12414.93534,0.439375661,2.16E-06,-0.439375661,NA
LOC112056587,serine protease snake-like,CG14642,1737.577201,1.322810981,2.19E-06,-1.322810981,NA
LOC112051806,glutamine synthetase 2 cytoplasmic,Gs2,756.2763041,1.192165026,2.19E-06,-1.192165026,NA
LOC112057830,disheveled-associated activator of morphogenesis 1 isoform X2,DAAM,306.0475563,-1.02599543,2.19E-06,1.02599543,eyespot_up
LOC112045447,toll-like receptor 6,Tollo,2365.478864,-0.312491474,2.20E-06,0.312491474,NA
LOC112049353,inactive hydroxysteroid dehydrogenase-like protein 1,CG31810,697.4108496,1.415057536,2.24E-06,-1.415057536,NA
LOC112043778,Transmembrane protein 201,CG7744,3770.369757,-0.345424031,2.24E-06,0.345424031,NA
LOC112044980,FIT family protein CG10671,Fitm,1988.534891,0.378955818,2.24E-06,-0.378955818,NA
LOC112046107,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Ndufs3,2620.98956,-0.371017193,2.34E-06,0.371017193,NA
LOC112045905,"probable malate dehydrogenase, mitochondrial",Mdh2,5527.977521,0.386699815,2.35E-06,-0.386699815,NA
LOC112045368,nuclear pore glycoprotein p62,Nup62,3170.960422,-0.349466059,2.44E-06,0.349466059,NA
LOC112053826,Lipoate protein ligase,CG42837,218.7764905,0.619368368,2.46E-06,-0.619368368,NA
LOC112058154,calcium homeostasis endoplasmic reticulum protein isoform X1,scaf6,2385.272117,-0.331918154,2.48E-06,0.331918154,NA
LOC112052231,uncharacterized protein LOC112052231 isoform X4,LUBEL,23.14989876,3.019114582,2.49E-06,-3.019114582,NA
LOC112049566,S-phase kinase-associated protein 2-like,Skp2,941.174103,-0.416882566,2.49E-06,0.416882566,NA
LOC112043881,aldo-keto reductase AKR2E4-like isoform X2,CG10638,204.2238959,0.938174275,2.55E-06,-0.938174275,NA
LOC112049782,baculoviral IAP repeat-containing protein 5,Det,421.4935972,-0.822787883,2.62E-06,0.822787883,NA
LOC112043710,protein aurora borealis,LOC112043710,420.5808151,-0.823718352,2.64E-06,0.823718352,NA
LOC112050082,nuclear pore complex protein Nup155,Nup154,3443.294776,-0.369911382,2.65E-06,0.369911382,NA
LOC112052555,structural maintenance of chromosomes protein 5,SMC5,225.7007158,-0.873492763,2.73E-06,0.873492763,NA
LOC112055407,protein O-GlcNAcase,Oga,848.1527662,-0.519600513,2.73E-06,0.519600513,NA
LOC112056132,prohibitin-2,Phb2,7063.427012,-0.298313104,2.75E-06,0.298313104,NA
LOC112053751,ecdysone-induced protein 78C-like,Eip78C,6814.6955,-0.426335225,2.77E-06,0.426335225,NA
LOC112050888,bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66,NO66,2161.768435,-0.280170425,2.87E-06,0.280170425,NA
LOC112055340,suppressor of cytokine signaling 2-like isoform X1,Socs16D,2054.536123,0.501334708,2.96E-06,-0.501334708,eyespot_up
LOC112047998,uncharacterized protein LOC112047998,CG17786,1100.398593,0.782096411,2.98E-06,-0.782096411,NA
LOC112045317,"transcription factor A, mitochondrial",TFAM,1008.55778,-0.431550948,3.02E-06,0.431550948,NA
LOC112052374,26S proteasome non-ATPase regulatory subunit 13,Rpn9,5111.83489,-0.351298641,3.09E-06,0.351298641,NA
LOC112047427,coiled-coil domain-containing protein 93,fidipidine,591.147186,0.433228175,3.16E-06,-0.433228175,NA
LOC112057569,GPI mannosyltransferase 2,PIG-V,460.7211372,-0.490782801,3.19E-06,0.490782801,NA
LOC112057790,transmembrane protease serine 9-like,CG4914,593.3611948,-0.446726702,3.22E-06,0.446726702,NA
LOC112051203,autophagy protein 12-like,Atg12,279.1218575,0.588540294,3.28E-06,-0.588540294,NA
LOC112058628,peroxisomal biogenesis factor 19,Pex19,635.8849295,-0.575259954,3.29E-06,0.575259954,NA
LOC112051568,serine--tRNA synthetase-like protein Slimp,LOC112051568,2117.328488,-0.307035437,3.29E-06,0.307035437,NA
LOC112051322,RNA/RNP complex-1-interacting phosphatase,CG13197,328.6830516,0.583660702,3.35E-06,-0.583660702,NA
LOC112051647,xylosyltransferase oxt,oxt,2176.849085,-0.251395491,3.47E-06,0.251395491,NA
LOC112047231,transcription factor cwo isoform X1,cwo,358.3018516,1.639002257,3.48E-06,-1.639002257,eyespot_up
LOC112052161,protein patched,Ptc,3295.934588,0.349712103,3.71E-06,-0.349712103,NA
LOC112046141,serine protease Hayan-like,CG14642,1735.684341,0.439275837,3.76E-06,-0.439275837,NA
LOC112052891,protein-cysteine N-palmitoyltransferase Rasp,rasp,70.02806576,-1.206924029,3.81E-06,1.206924029,NA
LOC112049935,"glucose dehydrogenase [FAD, quinone]-like",CG9521,136.3239076,2.028980692,3.90E-06,-2.028980692,NA
LOC112048923,alpha-tocopherol transfer protein-like,CG2663,124.1137277,2.219815566,3.99E-06,-2.219815566,NA
LOC112050835,ubiquitin-conjugating enzyme E2 S,CG8188,878.6430805,0.39149709,4.00E-06,-0.39149709,NA
LOC112050847,chloride intracellular channel exc-4 isoform X1,Clic,2899.584432,0.416711404,4.04E-06,-0.416711404,NA
LOC112053386,protein CIP2A homolog,CG12702,515.2754493,-0.804786315,4.04E-06,0.804786315,NA
LOC112054839,major facilitator superfamily domain-containing protein 9-like,LOC112054839,660.265642,-0.623740464,4.12E-06,0.623740464,eyespot_down
LOC112052466,uncharacterized protein LOC112052466 isoform X3,LOC112052466,500.6181029,-0.60342397,4.19E-06,0.60342397,NA
LOC112050026,KPJ10880.1 NF-kappa-B-repressing factor,CG31301,527.0451565,0.395205785,4.24E-06,-0.395205785,NA
LOC112057951,toll-like receptor 6,Toll-6,781.7757274,-0.864347898,4.25E-06,0.864347898,NA
LOC112043334,lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog,CG13510,227.4158925,-0.887787016,4.29E-06,0.887787016,NA
LOC112053064,fibroblast growth factor 3 isoform X1,bnl,484.734117,-0.639902226,4.44E-06,0.639902226,NA
LOC112044358,DNA polymerase epsilon catalytic subunit A,DNApol-epsilon255,1781.849072,-0.599670442,4.48E-06,0.599670442,eyespot_down
LOC112044746,zinc finger protein 260-like isoform X2,LOC112044746,1789.723074,0.908885151,4.49E-06,-0.908885151,NA
LOC112055209,condensin complex subunit 3,LOC112055209,803.699005,-0.824878212,4.49E-06,0.824878212,NA
LOC112053022,sulfhydryl oxidase 1-like isoform X1,Qsox1,1103.3861,0.372790422,4.53E-06,-0.372790422,NA
LOC112049658,chitinase A-like precursor,Cht4,42010.73643,1.282415902,4.87E-06,-1.282415902,eyespot_down
LOC112047792,serine/arginine repetitive matrix protein 1,spz6,190.4078641,2.322051993,4.90E-06,-2.322051993,NA
LOC112052241,venom serine carboxypeptidase-like,CG4572,1998.354316,-1.283714576,4.91E-06,1.283714576,NA
LOC112042830,U6 snRNA-associated Sm-like protein LSm2,CG10418,801.624822,-0.485144872,5.05E-06,0.485144872,NA
LOC112052264,ribosomal L1 domain-containing protein CG13096,CG13096,3425.194654,-0.331850632,5.09E-06,0.331850632,NA
LOC112049479,proteasome subunit beta type-3,Prosbeta3,4787.683436,-0.332990185,5.09E-06,0.332990185,NA
LOC112051305,probable N-acetyltransferase san,san,1314.512528,-0.325329027,5.09E-06,0.325329027,NA
LOC112044142,fasciclin-2 isoform X1,Fas2,13845.15076,-0.560584382,5.11E-06,0.560584382,NA
LOC112048366,kinesin-like protein Klp10A isoform X2,kinesin-13,1300.389153,-0.536384486,5.13E-06,0.536384486,NA
LOC112049904,AN1-type zinc finger protein 6 isoform X1,LOC112049904,37.01734117,1.460547479,5.13E-06,-1.460547479,NA
LOC112047990,aladin-like,Aladin,707.649083,-0.760605592,5.32E-06,0.760605592,NA
LOC112050190,uncharacterized protein LOC112050190,LOC112050190,288.9046124,2.18249665,5.41E-06,-2.18249665,NA
LOC112047001,transcriptional activator protein Pur-alpha isoform X4,Pur-alpha,4831.037222,-0.553037308,5.42E-06,0.553037308,NA
LOC112046604,surfeit locus protein 6 homolog,Surf6,2295.940127,-0.321899915,5.48E-06,0.321899915,eyespot_up
LOC112051014,serine/threonine-protein kinase fray2 isoform X2,CG15601,348.3245867,0.599321513,5.48E-06,-0.599321513,NA
LOC112058166,triokinase/FMN cyclase-like,LOC112058166,25.73379419,-2.031298023,5.48E-06,2.031298023,NA
LOC112046077,RNA polymerase-associated protein Rtf1 isoform X2,Rtf1,1906.6507,0.505042007,5.58E-06,-0.505042007,NA
LOC112048648,aldo-keto reductase AKR2E4-like,CG9436,1924.606071,-1.513907835,5.74E-06,1.513907835,NA
LOC112056869,OWR51406.1 fibroin-modulator-binding protein-1,LOC112056869,703.5385794,0.395225295,5.75E-06,-0.395225295,NA
LOC112053945,probable transaldolase,Tal,6940.235297,-0.435829529,5.89E-06,0.435829529,NA
LOC112045886,hsp70-binding protein 1,LOC112045886,1429.350131,-0.460607056,5.99E-06,0.460607056,NA
LOC112052250,NA,NA,184.2896597,1.516461482,6.00E-06,-1.516461482,NA
LOC112055254,translocation protein SEC63 homolog,Sec63,6291.940713,-0.257661939,6.15E-06,0.257661939,NA
LOC112045201,GPN-loop GTPase 1,CG3704,997.3668802,-0.409662537,6.16E-06,0.409662537,NA
LOC112045664,diphosphoinositol polyphosphate phosphohydrolase 2,Aps,2322.221102,0.525828929,6.24E-06,-0.525828929,NA
LOC112049406,pre-mRNA-splicing factor Slu7,Slu7,2096.812075,-0.357163384,6.29E-06,0.357163384,NA
LOC112055972,acidic repeat-containing protein,CG14814,164.0936866,-1.378873383,6.32E-06,1.378873383,NA
LOC112053214,protein king tubby,ktub,296.0077689,-0.71088977,6.36E-06,0.71088977,NA
LOC112046102,trafficking protein particle complex subunit 11,gry,1182.362673,0.328541664,6.53E-06,-0.328541664,NA
LOC112054801,probable ATP-dependent RNA helicase CG8611,CG8611,2110.821031,-0.278229114,6.53E-06,0.278229114,NA
LOC112047069,nucleoporin SEH1,Nup44A,1606.905342,-0.403472561,6.56E-06,0.403472561,NA
LOC112048994,ell-associated factor Eaf,Eaf,754.2100982,0.418358655,6.61E-06,-0.418358655,NA
LOC112049221,recQ-mediated genome instability protein 1-like,LOC112049221,355.2124629,0.540500854,6.68E-06,-0.540500854,NA
LOC112051794,cyclin-dependent kinase 10,cdc2rk,1977.30199,-0.380786668,7.01E-06,0.380786668,NA
LOC112044608,chromosome transmission fidelity protein 18 homolog,cutlet,356.1566109,-0.595279172,7.03E-06,0.595279172,NA
LOC112055671,uncharacterized protein LOC112055671 isoform X2,LOC112055671,666.5186806,-8.217433102,7.13E-06,8.217433102,eyespot_up
LOC112044239,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,ND-B17,1563.462466,0.422325213,7.31E-06,-0.422325213,NA
LOC112056105,nuclear factor interleukin-3-regulated protein,vri,756.1284838,1.249969831,7.32E-06,-1.249969831,NA
LOC112048558,gastrula zinc finger protein XlCGF57.1-like isoform X2,LOC112048558,701.4788854,-0.513060803,7.39E-06,0.513060803,eyespot_up
LOC112053406,vesicle transport protein GOT1B,CG32576,854.3231008,0.367647127,7.52E-06,-0.367647127,NA
LOC112053176,"presequence protease, mitochondrial",CG3107,1806.870566,0.35423957,7.56E-06,-0.35423957,NA
LOC112053910,modular serine protease-like,Sp212,2106.61569,0.773282981,7.61E-06,-0.773282981,eyespot_down
LOC112054268,OWR54370.1 Chromatin modification-related protein YNG2,MESR4,2540.580067,0.224002973,7.62E-06,-0.224002973,NA
LOC112055472,thyroid transcription factor 1-associated protein 26 homolog,LOC112055472,1570.775124,-0.618011086,7.62E-06,0.618011086,NA
LOC112054645,NA,NA,384.1052299,1.075136313,7.90E-06,-1.075136313,NA
LOC112051354,serine palmitoyltransferase 1,Spt-I,1121.068718,-0.383561434,7.92E-06,0.383561434,NA
LOC112048078,"glucose dehydrogenase [FAD, quinone]-like",CG9503,209.9028314,-0.626301234,7.93E-06,0.626301234,NA
LOC112045523,otoferlin-like,mfr,134.4758222,-2.984561526,8.07E-06,2.984561526,NA
LOC112048716,"leucine--tRNA ligase, cytoplasmic",LeuRS,5836.674591,-0.3980216,8.20E-06,0.3980216,NA
LOC112045546,XP_026741072.1 trichohyalin-like,LOC112045546,1156.822012,0.393284452,8.21E-06,-0.393284452,NA
LOC112044925,dehydrogenase/reductase SDR family member 4,CG10672,1316.642106,0.437487401,8.25E-06,-0.437487401,NA
LOC112049278,exosome complex component RRP45,Rrp45,1246.418626,-0.369555207,8.41E-06,0.369555207,NA
LOC112048155,E3 ubiquitin-protein ligase RBBP6 isoform X1,snama,3760.319311,-0.31540056,8.48E-06,0.31540056,NA
LOC112044787,facilitated trehalose transporter Tret1-like,CG10960,79.93559907,1.513642675,8.91E-06,-1.513642675,NA
LOC112048745,ATP-binding cassette sub-family G member 4 isoform X2,CG3164,1245.213558,0.381365848,8.99E-06,-0.381365848,NA
LOC112051487,transcription factor Sox-5,Sox102F,815.1542672,-0.416032526,9.10E-06,0.416032526,NA
LOC112055954,zinc finger protein 585B-like,LOC112055954,75.27660709,0.985895538,9.33E-06,-0.985895538,NA
LOC112055962,proteasome inhibitor PI31 subunit,PI31,1076.264736,-0.40000032,9.35E-06,0.40000032,NA
LOC112047656,hemocyte protein-glutamine gamma-glutamyltransferase-like,Tg,3253.310168,1.706911808,9.41E-06,-1.706911808,NA
LOC112045205,chymotrypsin-like elastase family member 2A,CG9631,275.5999369,-1.679787238,9.46E-06,1.679787238,NA
LOC112043302,p23-like protein,LOC112043302,732.5845285,-0.477227547,9.64E-06,0.477227547,NA
LOC112050999,zinc finger protein 708-like,LOC112050999,1105.306548,0.366333489,9.72E-06,-0.366333489,NA
LOC112050723,required for meiotic nuclear division protein 1 homolog,CG11679,705.7017721,-0.826805947,9.83E-06,0.826805947,NA
