Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112048344,cholinesterase 2-like,CG10175,3472.946016,-4.165593038,1.88E-178,4.165593038
LOC112046732,nucleolin-like isoform X1,LOC112046732,6776.425892,1.847910935,6.28E-178,-1.847910935
LOC112052502,G-protein coupled receptor moody-like isoform X1,moody,4186.573818,-7.779485515,1.23E-176,7.779485515
LOC112045324,probable histone-binding protein Caf1,Caf1,1915.696452,2.997429152,1.33E-175,-2.997429152
LOC112052044,peptide transporter family 1,CG2930,1321.734254,-9.435451682,5.43E-173,9.435451682
LOC112044629,pancreatic triacylglycerol lipase-like isoform X1,CG6847,9828.161475,-8.411215408,8.11E-173,8.411215408
LOC112052052,cadherin-86C,Cad86C,1822.513816,-3.266135762,1.17E-172,3.266135762
LOC112056178,uncharacterized protein LOC112056178 isoform X1,LOC112056178,18072.84107,-4.692565317,2.75E-172,4.692565317
LOC112050593,cyclin-dependent kinase 1,Cdk1,4352.133136,4.153103477,1.35E-171,-4.153103477
LOC112051976,uncharacterized protein LOC112051976,LOC112051976,2288.87347,-6.484037188,1.35E-171,6.484037188
LOC112057117,kielin/chordin-like protein isoform X1,CG5639,31676.56164,-6.883861426,1.58E-171,6.883861426
LOC112048072,probable chitinase 10,Cht7,80065.50567,-8.237551367,7.79E-171,8.237551367
LOC112048150,serine-rich adhesin for platelets-like,Mur89F,29427.66535,13.6762631,5.16E-170,-13.6762631
LOC112045697,uncharacterized protein LOC112045697,LOC112045697,965.4694268,6.514304549,5.16E-170,-6.514304549
LOC112058011,UDP-glucose 4-epimerase-like,Gale,3230.905412,5.77541147,1.02E-168,-5.77541147
LOC112043405,TAR DNA-binding protein 43-like,TBPH,729.5242951,-2.69570642,1.25E-163,2.69570642
LOC112047750,structural maintenance of chromosomes protein 2,SMC2,1856.843564,4.528527784,1.93E-162,-4.528527784
LOC112044841,augmin complex subunit dgt3,LOC112044841,607.8047791,3.265690323,6.78E-162,-3.265690323
LOC112058397,phospholipase A2 like protein,LOC112058397,3806.82772,-9.996031477,7.65E-162,9.996031477
LOC112054330,"phospholipase B1, membrane-associated-like",CG7365,1163.398203,-9.283200334,9.37E-161,9.283200334
LOC112052708,G2/mitotic-specific cyclin-B,CycB,1355.730624,7.688651509,3.09E-157,-7.688651509
LOC112057570,cyclin-dependent kinase 7,Cdk7,1013.697472,2.7182566,6.43E-155,-2.7182566
LOC112054696,condensin complex subunit 3,LOC112054696,1303.603089,4.275319628,1.27E-154,-4.275319628
