Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112048767,glycine-rich cell wall structural protein,TwdlT,62730.85567,13.1594839,3.31E-249,-13.1594839
LOC112044333,venom carboxylesterase-6,CG10175,7697.952182,7.927381973,6.97E-249,-7.927381973
LOC112047975,OWR53088.1 putative cuticle protein,CG12540,11289.12802,-8.705917938,1.75E-247,8.705917938
LOC112052601,Kielin/chordin-like protein,CG31869,22286.23277,-5.070080379,1.36E-246,5.070080379
LOC112055790,Pancreatic lipase-related protein 1,CG6847,4222.940452,4.371654816,6.08E-244,-4.371654816
LOC112053115,laccase-5 precursor,Lac2,4830.687799,5.211628362,1.46E-235,-5.211628362
LOC112042829,protein takeout-like,CG10407,11320.496,12.13237914,9.74E-234,-12.13237914
LOC112045222,cuticle protein 19.8 isoform X2,Cpr66D,31323.94647,13.65788507,1.69E-232,-13.65788507
LOC112050758,cathepsin O-like,Cp1,2687.493195,4.214843071,2.91E-230,-4.214843071
LOC112058270,AIR96004.1 lectin3,CTLGA3,58970.4716,8.889806864,7.16E-230,-8.889806864
LOC112044074,bone morphogenetic protein receptor type-1B isoform X1,tkv,10141.9323,-2.453816359,1.32E-229,2.453816359
LOC112053106,protein claret segregational,kinesin-14,1831.477494,-6.38612434,2.86E-229,6.38612434
LOC112049107,anillin isoform X1,scra,2514.160486,-3.727203058,6.98E-227,3.727203058
LOC112053961,tubulin beta-1 chain,betaTub56D,225947.6864,2.846850224,1.00E-226,-2.846850224
LOC112043935,protein turtle isoform X1,tutl,1974.353657,-2.868476707,4.43E-223,2.868476707
LOC112055826,uncharacterized protein LOC112055826 isoform X3,nw,40276.83375,-10.21809012,1.14E-222,10.21809012
LOC112042790,putative fatty acyl-CoA reductase CG5065,CG12268,9371.495592,10.78386149,1.04E-220,-10.78386149
LOC112051777,uncharacterized protein LOC112051777,tyn,4653.204742,-9.097335311,5.70E-219,9.097335311
LOC112049537,protein abnormal spindle,asp,1706.523579,-5.069673364,1.21E-216,5.069673364
LOC112045359,MOXD1 homolog 1-like,CG5235,2789.105158,-3.97787727,3.39E-212,3.97787727
LOC112053778,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Hmgcr,6565.956625,3.878046378,8.01E-206,-3.878046378
LOC112042904,uncharacterized protein LOC112042904,LOC112042904,3144.262203,3.314835412,1.33E-205,-3.314835412
LOC112048631,GAS2-like protein pickled eggs,pigs,3753.719352,4.462938889,1.98E-205,-4.462938889
LOC112054163,NA,NA,74655.07513,15.71350243,1.78E-202,-15.71350243
LOC112052632,skin secretory protein xP2-like,Vajk3,63329.01931,8.132470432,5.76E-198,-8.132470432
LOC112044827,J domain-containing protein,jdp,1477.723372,4.156741288,1.16E-197,-4.156741288
LOC112056323,cuticle protein 18.6-like,Cpr64Aa,147199.8516,17.1231075,1.43E-194,-17.1231075
LOC112051506,OWR48679.1 Secreted protein member of chemokine factor super family,CG15449,5325.659213,3.10073239,5.57E-194,-3.10073239
LOC112048033,nuclear hormone receptor FTZ-F1 isoform X2,ftz-f1,1374.361973,4.902982355,2.40E-193,-4.902982355
LOC112054633,protein scarlet,st,5526.547834,10.61505495,3.33E-190,-10.61505495
LOC112052549,histidine-rich glycoprotein-like,LOC112052549,3920.189008,9.104015577,1.75E-189,-9.104015577
LOC112050296,ABC transporter G family member 23 isoform X1,snu,4695.162834,3.230754875,3.52E-188,-3.230754875
LOC112045481,cuticle protein 19.8-like,CPR59,1683.498228,-8.469574299,1.14E-187,8.469574299
LOC112046049,neurotactin,Nrt,1894.568511,-4.082506132,3.53E-184,4.082506132
LOC112051359,prisilkin-39-like,LOC112051359,27487.14843,11.78026108,8.44E-184,-11.78026108
LOC112046971,cadherin-89D isoform X2,Cad89D,4719.760714,6.092521703,8.82E-182,-6.092521703
LOC112045745,elongation of very long chain fatty acids protein AAEL008004-like isoform X1,CG5326,12255.85762,10.6995394,1.28E-181,-10.6995394
LOC112058397,phospholipase A2 like protein,LOC112058397,5522.962539,9.075231904,1.08E-180,-9.075231904
LOC112050169,nose resistant to fluoxetine protein 6-like,CG17707,2551.682492,9.031060911,3.35E-179,-9.031060911
LOC112047656,hemocyte protein-glutamine gamma-glutamyltransferase-like,Tg,38052.97515,13.30852129,7.46E-178,-13.30852129
LOC112056919,probable nuclear hormone receptor HR3 isoform X2,Hr46,1247.42728,5.040138267,1.77E-176,-5.040138267
LOC112044206,uncharacterized protein LOC112044206 isoform X2,exp,6123.869051,6.081750611,5.36E-175,-6.081750611
LOC112044889,phospholipase A1 member A-like,CG18641,1651.632581,8.242697197,2.58E-174,-8.242697197
LOC112050352,uncharacterized protein LOC112050352,LOC112050352,3362.615829,6.225157697,2.04E-172,-6.225157697
LOC112052908,titin,sls,15369.01972,3.148167132,2.19E-172,-3.148167132
LOC112047559,uncharacterized protein LOC112047559,CG13024,2765.060894,9.275632159,4.96E-171,-9.275632159
LOC112058190,cuticle protein 19-like,Cpr62Bc,6077.032647,10.06665647,1.90E-170,-10.06665647
LOC112046887,uncharacterized protein LOC112046887,LOC112046887,4882.111041,5.650736253,2.21E-169,-5.650736253
LOC112056322,cuticle protein 8-like,Cpr64Aa,54046.13926,15.34121942,5.52E-169,-15.34121942
LOC112046088,phospholipid transfer protein C2CD2L isoform X5,CG10737,4177.143354,4.740468031,1.14E-168,-4.740468031
LOC112052810,putative fatty acyl-CoA reductase CG5065,CG5065,9602.653806,9.554612533,5.89E-168,-9.554612533
LOC112056101,---NA---,LOC112056101,7262.421458,11.67215035,5.36E-167,-11.67215035
LOC112054528,class A basic helix-loop-helix protein 15-like,dimm,1175.690839,6.62096727,1.49E-165,-6.62096727
LOC112056638,cathepsin O-like,LOC112056638,4203.591892,4.076591619,4.27E-164,-4.076591619
LOC112051410,nose resistant to fluoxetine protein 6-like,CG32645,3992.181357,8.013260985,1.15E-163,-8.013260985
LOC112048291,piezo-type mechanosensitive ion channel component isoform X1,Piezo,6874.282101,4.623243399,1.18E-163,-4.623243399
LOC112052778,hillarin,Hil,1746.702222,2.05106171,2.12E-162,-2.05106171
LOC112047618,serine-rich adhesin for platelets-like isoform X1,LOC112047618,14095.38947,5.482103272,5.80E-161,-5.482103272
LOC112046508,uncharacterized LOC106121074 precursor,CG12880,1891.897959,-6.218587597,6.87E-161,6.218587597
LOC112043675,reticulon-3-B isoform X4,Rtnl1,27955.53643,2.225423359,1.17E-160,-2.225423359
LOC112043179,putative leucine-rich repeat-containing protein DDB_G0290503,LOC112043179,1470.431205,-3.685590992,3.99E-160,3.685590992
LOC112048439,chromodomain-helicase-DNA-binding protein Mi-2 homolog isoform X1,Chd3,12839.07725,-1.685071368,4.32E-160,1.685071368
LOC112055007,helix-loop-helix protein delilah-like,tx,2200.65939,6.417287028,9.81E-160,-6.417287028
LOC112052329,aldo-keto reductase AKR2E4-like,Akr1B,1890.514993,9.174851247,4.80E-158,-9.174851247
LOC112053312,scavenger receptor class B member 1-like,SCRB6,4342.395537,10.67561503,5.97E-158,-10.67561503
LOC112047195,senecionine N-oxygenase-like,Fmo-2,1414.734814,8.534873787,7.73E-158,-8.534873787
LOC112053206,sn1-specific diacylglycerol lipase beta isoform X1,inaE,768.7361308,4.44001858,3.28E-157,-4.44001858
LOC112045805,"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial-like",CG5214,2190.555749,1.962446791,5.95E-157,-1.962446791
LOC112055331,protein obstructor-E-like,Cpap3-a2,3649.129077,6.030167976,3.97E-156,-6.030167976
LOC112045689,RNA-binding protein Musashi homolog 2 isoform X1,msi,5224.112508,-3.93045449,7.73E-156,3.93045449
LOC112049180,serine/arginine repetitive matrix protein 1,bif,3437.866163,-2.543182086,1.39E-155,2.543182086
LOC112044778,UNC93-like protein MFSD11,CG18549,6940.29758,5.516778792,6.24E-155,-5.516778792
LOC112048953,transcription factor hamlet-like,CG10348,1285.344442,4.988325616,6.24E-155,-4.988325616
LOC112048461,connectin-like,Con,1965.711642,7.785396823,9.39E-155,-7.785396823
LOC112053498,supervillin-like isoform X1,Svil,20977.8719,3.366163506,5.24E-154,-3.366163506
LOC112052551,pollen-specific leucine-rich repeat extensin-like protein 1,TwdlE,1825.004642,7.097278779,3.12E-152,-7.097278779
LOC112048093,mucin-5AC isoform X1,Spn27A,8536.033039,-6.251853641,3.32E-152,6.251853641
LOC112049885,actin-4,Arp1,173657.9558,2.145040095,3.15E-151,-2.145040095
LOC112054356,centromere-associated protein E-like isoform X1,kinesin-7,2413.770707,-2.337384192,4.68E-151,2.337384192
LOC112050318,achaete-scute complex protein T3-like,sc,1075.010351,-4.565737227,7.68E-150,4.565737227
LOC112043300,multidrug resistance-associated protein 4-like isoform X2,CG5789,11112.75095,-8.659631044,9.21E-150,8.659631044
LOC112054289,glucose-6-phosphate 1-epimerase,CG9008,3335.007001,-3.722040776,1.48E-149,3.722040776
LOC112052060,protein yellow-like,yel-e,3160.932139,5.986016758,1.95E-149,-5.986016758
LOC112055112,decaprenyl-diphosphate synthase subunit 1,qless,5394.097311,4.980673196,2.12E-149,-4.980673196
LOC112043721,adhesive plaque matrix protein-like isoform X1,CG13643,1220.662216,4.47728464,5.23E-149,-4.47728464
LOC112054205,uncharacterized protein LOC112054205,LOC112054205,10959.1845,6.473855732,1.37E-147,-6.473855732
LOC112051874,transcription factor SPT20 homolog isoform X2,CG8192,33920.87151,11.11982616,5.25E-146,-11.11982616
LOC112047959,serine protease easter-like,SPE,823.1380938,-7.822388831,1.55E-145,7.822388831
LOC112050303,larval cuticle protein A3A-like,Cpr92A,91232.47808,16.90509623,9.63E-145,-16.90509623
LOC112045646,filamin-A isoform X1,jbug,3303.739626,4.493883032,1.74E-144,-4.493883032
LOC112046692,amyloid-beta-like protein isoform X2,Appl,2077.815583,-2.921217965,5.46E-142,2.921217965
LOC112056193,heme peroxidase 2,DBLOX,3521.665481,7.220670792,7.72E-142,-7.220670792
LOC112048070,uncharacterized protein LOC112048070 isoform X1,mwh,1667.989992,-2.813066083,1.40E-141,2.813066083
LOC112047284,multidrug resistance-associated protein 4-like,CG5789,1034.52551,3.060334549,4.43E-141,-3.060334549
LOC112043533,probable pterin-4-alpha-carbinolamine dehydratase,Pcd,2146.001861,2.665828343,4.45E-140,-2.665828343
LOC112053729,UDP-N-acetylhexosamine pyrophosphorylase,mmy,1883.33941,4.150652115,9.78E-140,-4.150652115
LOC112043291,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1-like,Gfat1,14148.87004,3.890521109,3.68E-138,-3.890521109
LOC112048334,mucin-5AC-like isoform X1,CG3777,43915.3801,4.042581846,1.22E-137,-4.042581846
LOC112051076,KPJ09368.1 putative phosphoenolpyruvate synthase,LOC112051076,1145.683953,6.159348065,1.71E-137,-6.159348065
LOC112057758,peroxidase,HPX5,2044.01407,9.376973135,1.82E-137,-9.376973135
LOC112055381,teneurin-m isoform X4,Ten-m,13177.04051,2.315636281,2.51E-135,-2.315636281
LOC112052443,ejaculatory bulb-specific protein 3-like,LOC112052443,948.8821355,3.109832195,6.32E-134,-3.109832195
LOC112043772,Sodium-independent sulfate anion transporter,Esp,2812.16086,3.902411429,7.80E-133,-3.902411429
LOC112056641,"tryptophan 2,3-dioxygenase",v,2109.164191,8.210509227,3.44E-132,-8.210509227
LOC112049651,multidrug resistance protein homolog 49-like,Mdr49,780.6471047,-3.850852538,7.55E-132,3.850852538
LOC112045709,pyrimidodiazepine synthase-like,GstO3,2755.400592,5.017228221,8.78E-131,-5.017228221
LOC112048204,polyhomeotic-like protein 3,Samuel,1201.054564,-3.309201023,1.44E-130,3.309201023
LOC112047206,transforming acidic coiled-coil-containing protein 3-like,LOC112047206,1215.512849,-4.801911151,1.38E-129,4.801911151
LOC112054149,protein neuralized isoform X1,neur,5640.191298,-4.559952225,1.95E-129,4.559952225
LOC112046833,flocculation protein FLO11,CG42327,1074.295542,2.658474382,3.22E-129,-2.658474382
LOC112046929,angiotensin-converting enzyme-like,LOC112046929,2113.268344,3.879514661,1.04E-128,-3.879514661
LOC112054278,pollen-specific leucine-rich repeat extensin-like protein 2,CG8927,9866.812466,5.068040853,1.22E-128,-5.068040853
LOC112055476,transmembrane protein 68 isoform X1,CG34348,868.2608987,-4.566703881,8.24E-128,4.566703881
LOC112056394,glycine-rich protein DOT1-like,LOC112056394,1786.257685,-9.283641754,1.49E-125,9.283641754
LOC112047875,la-related protein 6,Achl,53720.25961,8.770796985,1.27E-124,-8.770796985
LOC112052241,venom serine carboxypeptidase-like,CG4572,1790.202706,-7.621276202,1.65E-124,7.621276202
LOC112044157,uncharacterized protein LOC112044157,CG14880,4710.927672,5.065136427,2.14E-124,-5.065136427
LOC112050906,general transcriptional corepressor trfA-like,LOC112050906,4673.222043,-5.829010484,2.14E-124,5.829010484
LOC112045324,probable histone-binding protein Caf1,Caf1,2045.297303,-1.666922724,3.27E-124,1.666922724
LOC112046502,"probable aconitate hydratase, mitochondrial",mAcon1,3956.07993,2.40230921,3.65E-124,-2.40230921
LOC112054545,endocuticle structural glycoprotein ABD-5-like,Lcp65Ad,1444.248583,8.584981995,5.31E-124,-8.584981995
LOC112055502,transmembrane protein 68 isoform X1,CG34348,408.0296026,-5.364869558,7.25E-124,5.364869558
LOC112056402,flocculation protein FLO11 isoform X1,CG8547,3829.061251,2.955016951,1.73E-123,-2.955016951
LOC112054365,sodium-coupled monocarboxylate transporter 1,CG7720,533.610748,-6.121813966,6.05E-123,6.121813966
LOC112043657,reticulon-1 isoform X1,LOC112043657,2594.889915,2.181637431,1.17E-122,-2.181637431
LOC112045307,protein wntless,wls,2039.707184,-3.122584569,1.57E-122,3.122584569
LOC112052591,mucin-5AC-like isoform X1,CG17211,5575.663328,-5.684575342,1.58E-122,5.684575342
LOC112046259,uncharacterized protein LOC112046259,LOC112046259,1189.844744,7.266849656,2.80E-122,-7.266849656
LOC112049694,endocuticle structural glycoprotein ABD-4-like,Cpr49Aa,1174.595447,8.450754313,2.86E-122,-8.450754313
LOC112045360,sialin-like isoform X1,CG9864,1547.979914,-4.536095414,3.49E-122,4.536095414
LOC112054943,"beta-1,3-galactosyltransferase 5-like",CG8668,5261.204871,-2.785394566,5.81E-121,2.785394566
LOC112047162,cartilage oligomeric matrix protein,Tsp,4730.511664,5.612030004,1.85E-120,-5.612030004
LOC112056033,cuticle protein 8-like,Cpr64Aa,24523.403,14.76135918,3.78E-120,-14.76135918
LOC112047937,Transforming growth factor-beta-induced protein ig-h3,CG43333,3177.563947,7.939989405,5.20E-120,-7.939989405
LOC112056086,CD151 antigen-like,LOC112056086,3864.278388,4.733460651,6.82E-120,-4.733460651
LOC112043224,zinc finger CCCH domain-containing protein 13,CG8740,12031.58865,6.312881006,1.29E-119,-6.312881006
LOC112046859,collagen alpha-1(I) chain-like,frm,3239.231373,7.304205162,3.45E-119,-7.304205162
