Gene,Description,Symbol,MeanExpression,log2FoldChange(WS/DS),padj,log2FC
LOC112058207,cuticle protein-like,Cpr62Bc,76440.876,14.71153666,0,-14.71153666
LOC112058337,63 kDa sperm flagellar membrane protein,CG33978,14705.39559,4.892525051,0,-4.892525051
LOC112054943,"beta-1,3-galactosyltransferase 5-like",CG8668,7103.211555,-3.11010075,3.11E-303,3.11010075
LOC112056402,flocculation protein FLO11 isoform X1,CG8547,4291.4704,2.926473051,1.49E-301,-2.926473051
LOC112046025,protein nessun dorma,nesd,1199.222871,-4.302191436,1.22E-297,4.302191436
LOC112055331,protein obstructor-E-like,Cpap3-a2,3474.242,5.910670919,1.82E-293,-5.910670919
LOC112052241,venom serine carboxypeptidase-like,CG4572,12956.33018,-11.20098131,1.12E-292,11.20098131
LOC112054633,protein scarlet,st,6474.807317,10.86612756,1.85E-291,-10.86612756
LOC112044155,circadian clock-controlled protein-like,CG10264,3449.443142,8.911232432,7.52E-291,-8.911232432
LOC112058397,phospholipase A2 like protein,LOC112058397,5813.491914,10.183644,1.29E-290,-10.183644
LOC112048291,piezo-type mechanosensitive ion channel component isoform X1,Piezo,8434.747265,4.692320064,1.17E-284,-4.692320064
LOC112052551,pollen-specific leucine-rich repeat extensin-like protein 1,TwdlE,4361.936841,9.820540172,7.30E-284,-9.820540172
LOC112044491,thymosin beta isoform X3,cib,57963.10139,3.062762941,1.72E-283,-3.062762941
LOC112048099,delta(14)-sterol reductase,LBR,1568.984515,-4.852098578,1.17E-281,4.852098578
LOC112050322,larval cuticle protein A2B-like,Cpr92A,17204.81986,13.35936847,4.13E-278,-13.35936847
LOC112055169,ras-related protein Rab-32 isoform X5,Rab32,4962.824264,7.430507967,5.60E-278,-7.430507967
LOC112048342,esterase FE4-like,CG10175,1263.153742,6.014242152,1.64E-277,-6.014242152
LOC112054175,Kinetochore-associated protein 1,LOC112054175,1498.193723,-5.473785641,1.09E-276,5.473785641
LOC112048648,aldo-keto reductase AKR2E4-like,CG9436,7090.652476,-5.38788182,1.33E-276,5.38788182
LOC112051465,protein singed,sn,10079.45737,-5.59545893,1.40E-276,5.59545893
LOC112047062,myb-like protein AA,CG12964,9267.644182,6.39150379,9.39E-274,-6.39150379
LOC112052810,putative fatty acyl-CoA reductase CG5065,CG5065,11248.48043,10.46615126,1.78E-273,-10.46615126
LOC112042829,protein takeout-like,CG10407,7867.152179,11.01472155,9.25E-273,-11.01472155
LOC112050296,ABC transporter G family member 23 isoform X1,snu,5696.675164,3.20825997,2.24E-271,-3.20825997
LOC112049286,OWR44007.1 putative sanpodo,LOC112049286,2264.576241,-7.646317327,1.63E-269,7.646317327
LOC112051013,"glucose dehydrogenase [FAD, quinone]",CG9514,3105.933943,8.356419188,1.72E-268,-8.356419188
LOC112054278,pollen-specific leucine-rich repeat extensin-like protein 2,CG8927,14018.07527,4.690793828,2.80E-268,-4.690793828
LOC112044986,seminal fluid protein CSSFP033,CLIPA10,11419.50131,9.695634692,2.55E-266,-9.695634692
LOC112052438,TKX27960.1 cuticular protein RR-2,Cpr50Ca,1860.834862,6.020691785,2.13E-265,-6.020691785
LOC112056102,neuropeptide-like protein 29,LOC112056102,14252.41327,6.516282231,1.35E-263,-6.516282231
LOC112055115,transcription factor SPT20 homolog,LOC112055115,5440.23547,8.537051757,6.79E-261,-8.537051757
LOC112050022,probable chitinase 2,Cht2,3902.557447,2.005411254,8.90E-261,-2.005411254
LOC112052591,mucin-5AC-like isoform X1,CG17211,8526.875319,-5.629518395,3.69E-260,5.629518395
LOC112053661,differentially expressed in FDCP 6-like,LOC112053661,1212.295278,4.568778139,1.54E-259,-4.568778139
LOC112046508,uncharacterized LOC106121074 precursor,CG12880,2986.790696,-6.52557082,4.13E-259,6.52557082
LOC112055070,ATP-binding cassette sub-family A member 12,CG34120,4468.868829,6.447690205,5.56E-259,-6.447690205
LOC112046562,"myosin heavy chain, non-muscle isoform X1",Mhc2,90946.90935,3.519354833,6.27E-258,-3.519354833
LOC112045108,kinesin-like protein KIF23,pav,998.2847545,-4.365522272,1.29E-257,4.365522272
LOC112049016,ejaculatory bulb-specific protein 3-like,CSP6,43381.62277,8.859993202,4.50E-255,-8.859993202
LOC112049618,ras GTPase-activating-like protein IQGAP1,CG5023,1735.496772,-4.519712434,2.19E-254,4.519712434
LOC112051535,A disintegrin and metalloproteinase with thrombospondin motifs 1 isoform X2,sona,10322.93887,6.198966783,3.59E-253,-6.198966783
LOC112052001,Cell surface glycoprotein 1,nahoda,6330.759113,3.009632832,6.19E-252,-3.009632832
LOC112045751,basic proline-rich protein isoform X2,LOC112045751,16365.68774,8.870827799,9.37E-250,-8.870827799
LOC112047614,fatty acyl-CoA reductase wat-like,wat,2024.564557,4.597067375,1.17E-249,-4.597067375
LOC112046462,broad-complex core protein isoforms 1/2/3/4/5 isoform X1,Br-c,5103.655397,7.326118612,1.99E-249,-7.326118612
LOC112044990,cyclin-dependent kinase inhibitor 1C-like,LOC112044990,16441.01775,10.71394386,6.84E-249,-10.71394386
LOC112050593,cyclin-dependent kinase 1,Cdk1,6559.159381,-2.213780156,1.20E-248,2.213780156
LOC112052708,G2/mitotic-specific cyclin-B,CycB,1785.746557,-6.898869119,2.87E-248,6.898869119
LOC112053115,laccase-5 precursor,Lac2,4738.638058,5.403923405,1.70E-244,-5.403923405
LOC112052933,retinol dehydrogenase 11-like,CG2064,1774.576201,4.606920386,7.74E-243,-4.606920386
LOC112043224,zinc finger CCCH domain-containing protein 13,CG8740,13550.64315,7.127275493,2.62E-242,-7.127275493
LOC112046332,alpha-tocopherol transfer protein-like,Cralbp,14378.48937,12.07830789,9.54E-241,-12.07830789
LOC112045697,uncharacterized protein LOC112045697,LOC112045697,1264.473587,-4.97944109,1.20E-240,4.97944109
LOC112047206,transforming acidic coiled-coil-containing protein 3-like,LOC112047206,2661.973128,-5.639329769,2.79E-240,5.639329769
LOC112047328,inner centromere protein A,Incenp,3656.136534,-2.98100711,2.22E-238,2.98100711
LOC112053498,supervillin-like isoform X1,Svil,22792.31916,3.514913056,3.51E-237,-3.514913056
LOC112046745,transcription factor stalky-like,LOC112046745,1055.220493,-6.116534861,4.52E-235,6.116534861
LOC112057914,pre-mRNA-splicing factor CWC25-like isoform X1,LOC112057914,2849.425427,-6.234715195,1.02E-234,6.234715195
LOC112054138,proton channel OtopLc isoform X1,OtopLa,5053.100812,3.86117667,3.07E-232,-3.86117667
LOC112043300,multidrug resistance-associated protein 4-like isoform X2,CG5789,13546.93647,-11.31289172,4.24E-232,11.31289172
LOC112058270,AIR96004.1 lectin3,CTLGA3,34732.99897,7.850174128,7.13E-232,-7.850174128
LOC112043179,putative leucine-rich repeat-containing protein DDB_G0290503,LOC112043179,3075.678015,-4.317051277,2.46E-229,4.317051277
